track_pt,track_eta,track_phi,det_raw_id
29.2815,0.0998818,-1.03195,577601536 581795840 585990144 590184448 637633813 637633845 637633909 637635861 637635893 637637973 
29.4645,-0.099632,2.10974,576028672 580222976 584417280 588611584 637633045 637633077 637633109 637633141 637635093 637635125 
472.764,0.679789,2.23094,576061440 580255744 584482816 588677120 637571677 637571709 637633049 637633081 637635097 637637245 
469.406,-0.679695,-0.910771,577568768 581763072 585924608 590118912 637568365 637572429 637633809 637633841 637635857 637635889 
555.016,-2.30696,-0.436222,604050192 604050200 604050704 604050712 604054152 604054160 604058248 604058256 604062344 604062352 687886656 
577.088,2.30674,2.70546,604017280 604017288 604017792 604017800 604021312 604021320 604025408 604025416 604029504 604029512 
227.901,-2.25735,-1.97931,604050120 604050128 604050632 604050640 604054120 604058216 604062312 
304.582,2.26834,1.16161,604017208 604017216 604017720 604017728 604021280 604025376 604029472 687900450 
610.743,0.739864,-1.52811,577372160 581599232 585793536 591036416 637570237 637572317 637633689 637635737 637637885 
644.706,-0.739502,1.61351,575733760 579895296 584089600 590643200 637569453 637571533 637632913 637634961 637641197 
570.335,-0.505266,-2.66694,576782336 580976640 585170944 589365248 637567889 637569937 637600689 637633489 637633521 637635505 
622.233,0.505087,0.474796,575275008 579469312 583663616 587857920 637567129 637569177 637599929 637632729 637634745 637636857 
224.509,-0.260509,-0.511577,577863680 586219520 590413824 637568465 637572561 637572593 637633941 637635989 
223.764,0.260846,2.62994,576290816 584712192 588906496 637567705 637567737 637633173 637635221 
310.071,-1.81718,-0.697195,604050184 604050696 604054152 604058248 604062344 637641444 687890464 687906848 
303.866,1.81781,2.44429,604017272 604017784 604021312 604025408 637641030 637641062 687885858 687902242 
196.871,-0.509296,-3.10784,576520192 580714496 584908800 589103104 637567761 637569809 637600561 637633393 637635377 637637457 
203.152,0.509287,0.0336972,575012864 579207168 583401472 587595776 637567001 637569049 637599801 637632601 637634617 637636729 
428.958,0.255542,-1.13521,577601536 581795840 586022912 590217216 637568345 637568377 637633813 637633845 637635861 
418.63,-0.255675,2.00629,576028672 580190208 584384512 588578816 637567569 637567601 637569585 637633045 637635093 
993.77,-1.22729,2.97518,604051088 604054672 604058768 604062864 637587716 637587816 637620552 637653288 
911.459,1.22732,-0.166311,604018464 604022048 604026144 604030240 637588102 637588202 637620938 637632541 637653674 
634.916,-0.76307,-3.10884,576520192 580681728 584876032 589070336 637567789 637567821 637569837 637571917 637633297 637633389 637635345 
735.461,0.762942,0.0326723,575012864 579239936 583434240 587628544 637567037 637567069 637569085 637571165 637632537 637634585 637636733 
922.934,-2.18185,1.22197,604049984 604050496 604054048 604058144 604062240 687884064 687900448 
524.932,2.1816,-1.91964,604017360 604017872 604021352 604025448 604029544 687888674 687905058 
10.2457,-0.269827,-1.5784,577339392 581763072 585695232 590938112 637568149 637568305 637570353 637572305 637572337 
10.2712,0.269404,1.56299,575504384 583925760 588382208 637567481 637571417 637632789 637634837 
533.661,-1.2868,-0.649062,604051208 604054792 604058888 604062984 637575812 637575844 637575912 637608648 637608680 
490.083,1.28645,2.4925,604018296 604021880 604025976 604030072 637575430 637575462 637608266 637608298 
104.031,-0.73428,-2.28889,581206016 585400320 589332480 637568045 637568077 637570093 
104.995,0.734318,0.85281,575275008 579764224 583958528 588152832 637567325 637569341 637632665 637632893 
714.426,-1.7245,2.77725,604050056 604050568 604054088 604058184 604062856 637616484 637649220 687886368 687902752 
622.343,1.72401,-0.364215,604017432 604017944 604021392 604030232 637616870 637649606 687890978 687907362 
843.841,-0.417419,-2.47417,576782336 580976640 585170944 589365248 637567889 637567921 637569937 637569969 637572049 637637585 637637617 
694.029,0.417024,0.66746,575275008 579469312 583663616 587857920 588120064 637567129 637567161 637569177 637569209 637571289 637632889 637636825 637636857 
830.692,0.385083,-2.71489,576847872 581042176 585236480 589430784 637567897 637567929 637567961 637569945 637569977 637633529 
852.671,-0.385377,0.42672,575209472 579403776 583598080 587792384 637567121 637567153 637567185 637569169 637569201 637636849 
258.02,-2.19828,1.40574,604049992 604050504 604054056 604058152 604062248 687884320 687900704 
349.364,2.19809,-1.73555,604017368 604017880 604021360 604025456 604029552 687888930 687905314 
726.687,-0.996343,-0.298045,577798144 579108864 581992448 604051736 637568397 637584040 637616776 637635981 
818.498,0.99632,2.84348,576356352 580812800 604018824 637567645 637569693 637583658 637616394 637635229 
